id;documento
1;Muito bom, só sinto falta de poder pagar o clube ifood com outras formas de pagamento como pix, debito em conta, app do nubank, etc, pois não uso cartão de crédito
2;Fica parado na tela de carregamento para sempre. Utilizo um Samsung Galaxy S9
3;Enquanto eu pude utilizar o aplicativo, ele cumpriu o prometido, com pouquíssimos problemas enfrentados. Mas há alguma tempo o App simplesmente deixou de funcionar no meu celular. Não aceita o meu e-mail nem o meu número de celular. Tentei entrar em contato com os administradores, mas não consegui. Simplesmente fui excluido do iFood! Sem explicação.
4;Aplicativo desorganizado, ativar o cupom precisa ser feito mais de uma vez. Restaurante não atualiza entrega, rastreio difícil. Mas é fácil entrar em contato com o restaurante. Sugestão: facilitar compra de bebida no aplicativo.
5;Adoro a praticidade do ifood de poder pedir comida de onde estiver e receber tudo no conforto da minha casa. As informações sobre os restaurantes, como avaliações de outros usuários e detalhes dos pratos, são muito úteis na hora de escolher. Além disso, o sistema de entrega é eficiente e rápido, e os entregadores são sempre muito educados. O suporte ao cliente também é ágil e prestativo quando precisei.
6;Uma besta de aplicativo....não dão suporte nenhum
7;Cuidado com as promoções enganosas. Na tela de finalizar a compra o aplicativo te mostra o valor com desconto. Depois de finalizada, ele muda pro valor cheio e te cobra tudo. Não vale a dor de cabeça. Nunca vi tamanha desonestidade em outro app de entregas.
8;As vezes a forma de pagamento não funciona de forma alguma! Tirando isso, gosto mt do app
9;Ótimo aplicativo gosto muito dos cupons .estou pedindo muito mas no rappi e deixando o concorrente de lado.😉
10;Sou cliente á um bom tempo, mas dias atrás ganhei um cupom e quando fui utilizar pelo app, tinha uma mensagem dizendo que o app não é conpatível com meu aparelho( Samsung J2 Prime). Desinstalei, e pra minha surpresa não encontro mais o app na playstore... Agora pouco recebi SMS com outro cupom, mas não consigo pedir :/ podem me ajudar, já tenho cadastro faz tempo, mas não consigo entrar nem usar o bônus :/
11;Sempre tenho problemas quando compro, contactar o suporte é sempre um problema, muito difícil. E várias vezes encerraram o chat dizendo que estava resolvido, sendo que nem tentaram resolver meu problema. Achar as coisas no aplicativo as vezes se torna uma tarefa impossível, para comprar é fácil, mas quando você quer resolver algum problema muito difícil.
12;ótimo app bastante desconto entrega rápida processo ágil eu gosto bastante
13;Assim que começou era ótimo, entregas não demoravam, cupons válidos pra todos os estabelecimentos! Agora deixou muito a desejar, pedido atrasa muito, ou vem incompleto! É uma pena!..... Há alguns meses venho sofrendo transtornos com o serviço oferecido do App Ifood.... Não recomendo, uber eats está na frente!
14;Vocês cobraram de mim um produto e nem chegou então me devolveram.em rapi créditos e .logo em.seguida me bloqueou por mais uso sendo que o erro e de vcs vou no procon para fazer reclamado e quero.meu dinheiro de volta ! E pior não tem.co fala com vcs isso e irritante
15;Já tive alguns problemas com entregas, mas todas foram resolvidas pela equipe do Rappi. Recomendo!
16;Como eu havia escrito, não foi correta a atitude de vocês, recolocando a gorjeta de R$ 3,00, que eu tinha retirado.
17;O APP em si não é tão ruim mais quando eu vou comprar algo nas lojas tá um valor e quando coloco no carrinho tá outro, isso é muito ruim pq as vezes parece até que tem algo na promoção mais já saiu faz tempo da promoção e mesmo assim aparece que tá na promoção, se tirasse isso o APP melhoraria muito
18;Vocês precisam urgente colocar um botao de cancelamneto sem a necessidade de telefonar. Já tive que comer lanches que não queria duas vezes por ter clicado errado e não ter como ligar na hora. Em uma terceira vez, fiquei 10 minutos esperando ser atendido e desisti. Estou diminuindo muito o uso do aplicativo apenas por isso, mas eu gosto da praticidade.
19;Ec
20;O app é péssimo, uma dica pra vcs, não baixem. Faço pedidos e eles simplesmente não entregam o que pedi, e vão mudando a hora da entrega infinitamente. Lixo, decepção!!!!!
21;Tres horas esperando um pedido pra ter que cancelar porque não chegar é nunca. Nunca mais uso esse app. Me sentindo um palhaço
22;Muitos entregadores são péssimos. Fazem as entregas com pressa, por vezes colocam na porta e saem (comigo ocorreu isso e pior colocaram na porta errada e o lanche foi perdido) para compras de supermercado alguns se negam a entregar na porta do apartamento e deixam na portaria do prédio. Pior, ainda contam com a complacência do suporte Rappi que ao menos responde rápido e reembolsa quando ocorre os recorrentes problemas de entrega. Esses entregadores deveriam ter avaliação e serem descredenciados 
23;show de bola ☺️
24;Até agora. Bem tranquilo de usar.
25;Uma falha grotesca no app. Pedido que está atrasado depois que o restaurante fecha, pode esquecer. Conte com a sorte e faça pedido em outro restaurante, seja cobrado duas vezes, e torça pra receber os dois pedidos, já que o app não consegue cancelar o pedido e ainda te devolve uma singela mensagem de "Não foi possível cancelar o seu pedido, tente novamente"
26;o bagulho n funciona no meu bairro , e infernizando meu celular de mensagem de promoção
27;ótimo e chega certo
28;Ganho credito gratis
29;App não está sequer abrindo.
30;está obrigando a usar a carteira Google absurdo.
31;o APP é muito bom
32;Péssimo, o app oferece promoções você compra e na fatura do cartão cobra o valor integral e não há ninguém que possa resolver. Minha experiência como cliente foi horrível! Por isso estou desinstalando o app e pretendo nunca mais usar os serviços do ifood.
33;Fiquei bem decepcionada com a taxa de serviço para pedidos menores de R$20,00. Em relação à um pedido parece pouco, mas para quem pede com frequência é ruim. Assim prefiro comprar diretamente nas lancherias locais.
34;Muito decepcionada! Meu primeiro pedido demorou mais de duas horas para receber. Estou desinstalando o Rappi. Muito desorganizado! TB no acho justo com o cancelamento o entregador pagar.
35;O app mostra promoções de restaurantes que não entregam no meu endereço. Além disso cobraram no meu cartão de crédito além do valor combinado da compra um valor de R$1,95 que não aparece descrito em nenhum lugar do pedido.
36;Deveria ter mais restaurantes.
37;Rapidez na entrega e ótimo atendimento ao cliente.
38;Aplicativo top, porém não entrega as do Job, uma opção aí para colocar as do job
39;App mt bom, fácil de usar, com boas promoções e bastante variedade dos produtos, quebra mt galho pra mim 😁 só ñ dou 5 estrelas pq já tive alguns problemas com cupons q hj é até difícil eu tentar usar algum, fora isso é um App q facilita mt a vida
40;Estou tendo problemas recorrentes tais como: Tem vezes que só aparece opção de pagamento online, pagamento em dinheiro diz que o restaurante não trabalha c troco. Meu endereço aparece errado no Ifood causando transtorno para mim e para os entregadores. Tive meus pedidos cancelados diversas vezes em virtude do erro no endereço. Eu deixei uma observação na referência mas nem sempre os restaurantes observam. Ifood não tem canal de comunicação online para reclamar deles.
